video,gloss,dutch,category,handshape,location,path_shape,path_repetition,handedness,reference,iconicity_binary,iconicity_rating
sign_001.mp4,LOBSTER,KREEFT,high iconic,H7,L5,straight,single,two-handed symmetrical,combined,yes,3.5
sign_002.mp4,TO-SHOUT,SCHREEUWEN,arbitrary,H7,L1,straight,repeated,two-handed symmetrical,na,no,2.79
sign_003.mpeg,RABBIT,KONIJN,low iconic,H6,L1,arched,repeated,two-handed symmetrical,object,yes,3.16
sign_004.mp4,TO-GO-OUT,UITGAAN,arbitrary,H6,L5,straight,single,one-handed,na,no,1.89
sign_005.mp4,TO-SLAP,SLAPEN,high iconic,H2,L5,arched,single,one-handed,action,yes,6.11
sign_006.mpeg,TO-WRING,WRINGEN,high iconic,H1,L5,circular,single,two-handed symmetrical,action,yes,6.12
sign_007.mp4,BALL,BAL,low iconic,H3,L5,hold,single,two-handed symmetrical,object,yes,4.05
sign_008.mp4,SPIDER,SPIN,high iconic,H3,L5,straight,repeated,one-handed,combined,yes,4.5
sign_009.mp4,DEER,HERT,high iconic,H2,L1,straight,single,two-handed symmetrical,object,yes,4.6
sign_010.mpeg,ZIMMER,ROLLATOR,low iconic,H7,L5,straight,single,two-handed symmetrical,action,no,4.42
sign_011.mp4,ELECTRICITY,ELEKTRICITEIT,arbitrary,H4,L3,straight,single,one-handed,na,no,1.79
sign_012.mp4,CAMEL,KAMEEL,high iconic,H2,L5,arched,repeated,one-handed,object,yes,5.4
sign_013.mpeg,ROOM,KAMER,arbitrary,H2,L5,arched,single,two-handed symmetrical,na,no,2.22
sign_014.mp4,WINDSCREEN WIPER,RUITENWISSER,low iconic,H4,L5,arched,repeated,two-handed symmetrical,combined,yes,6.63
sign_015.mpeg,RESTAURANT,RESTAURANT,low iconic,H6,L5,straight,repeated,two-handed symmetrical,combined,yes,3.21
sign_016.mp4,CALCULATOR,REKENMACHINE,high iconic,H2,L4,hold,repeated,two-handed asymmetrical,action,yes,4.8
sign_017.mp4,BUILDING,GEBOUW,arbitrary,H3,L5,straight,single,two-handed symmetrical,na,no,1.63
sign_018.mpeg,SUGAR,SUIKER,arbitrary,H2,L1,straight,repeated,one-handed,na,no,1.37
